from,to,length,path
N026,N124,3285.12607067,"['N026', 'N031', 'N036', 'N068', 'N124']"
N026,N104,2384.5159141000004,"['N026', 'N031', 'N034', 'N051', 'N104']"
N026,N098,2245.41847786,"['N026', 'N031', 'N034', 'N040', 'N063', 'N098']"
N026,N084,2219.7941476800006,"['N026', 'N054', 'N084']"
N026,N142,3423.6716436500005,"['N026', 'N031', 'N034', 'N040', 'N063', 'N142']"
N026,N159,3647.241850510001,"['N026', 'N031', 'N034', 'N040', 'N063', 'N159']"
N026,N161,4008.0758090400004,"['N026', 'N031', 'N034', 'N051', 'N104', 'N161']"
N026,N176,4262.666218810001,"['N026', 'N031', 'N034', 'N040', 'N063', 'N159', 'N176']"
N026,N177,4418.562432150001,"['N026', 'N031', 'N034', 'N040', 'N063', 'N142', 'N177']"
N036,N021,1675.4618810000002,"['N036', 'N031', 'N024', 'N021']"
N036,N024,1098.7954433,"['N036', 'N031', 'N024']"
N036,N029,527.7353617,"['N036', 'N029']"
N036,N031,499.34396749999996,"['N036', 'N031']"
N036,N026,1182.1037156,"['N036', 'N031', 'N026']"
N036,N036,0.0,
N036,N034,756.6474032,"['N036', 'N034']"
N036,N047,534.3096105,"['N036', 'N047']"
N036,N051,404.7494715,"['N036', 'N051']"
N036,N038,1147.52196433,"['N036', 'N051', 'N040', 'N038']"
N036,N040,933.1145772000001,"['N036', 'N051', 'N040']"
N036,N056,794.1663315600001,"['N036', 'N051', 'N056']"
N036,N054,1216.98956335,"['N036', 'N051', 'N056', 'N054']"
N036,N050,1618.62499295,"['N036', 'N051', 'N056', 'N054', 'N050']"
N036,N068,600.9302071,"['N036', 'N068']"
N036,N063,850.6066361100001,"['N036', 'N051', 'N063']"
N036,N070,1192.9557984500002,"['N036', 'N051', 'N056', 'N070']"
N036,N082,2185.39106485,"['N036', 'N051', 'N056', 'N054', 'N082']"
N036,N124,2103.02235507,"['N036', 'N068', 'N124']"
N036,N104,1235.5612499,"['N036', 'N051', 'N104']"
N036,N098,1411.8361450700002,"['N036', 'N051', 'N098']"
N036,N084,1882.15071882,"['N036', 'N051', 'N056', 'N070', 'N084']"
N036,N142,2612.94412055,"['N036', 'N051', 'N063', 'N142']"
N036,N159,2768.1350047700003,"['N036', 'N051', 'N159']"
N036,N161,2859.12114484,"['N036', 'N051', 'N104', 'N161']"
N036,N176,3383.55937307,"['N036', 'N051', 'N159', 'N176']"
N036,N177,3607.83490905,"['N036', 'N051', 'N063', 'N142', 'N177']"
N034,N021,1526.0164344999998,"['N034', 'N031', 'N024', 'N021']"
N034,N024,949.3499967999999,"['N034', 'N031', 'N024']"
N034,N029,1284.3827649,"['N034', 'N036', 'N029']"
N034,N031,349.898521,"['N034', 'N031']"
N034,N026,1032.6582691,"['N034', 'N031', 'N026']"
N034,N036,756.6474032,"['N034', 'N036']"
N034,N034,0.0,
N034,N047,1165.2217721,"['N034', 'N047']"
N034,N051,521.0458666,"['N034', 'N051']"
N034,N038,412.24184253,"['N034', 'N040', 'N038']"
N034,N040,197.8344554,"['N034', 'N040']"
N034,N056,569.27393576,"['N034', 'N040', 'N056']"
N034,N054,928.64619423,"['N034', 'N040', 'N038', 'N054']"
N034,N050,1327.34056163,"['N034', 'N040', 'N038', 'N050']"
N034,N068,1039.1248943,"['N034', 'N051', 'N068']"
N034,N063,628.67589011,"['N034', 'N040', 'N063']"
N034,N070,968.06340265,"['N034', 'N040', 'N056', 'N070']"
N034,N082,1897.0476957299998,"['N034', 'N040', 'N038', 'N054', 'N082']"
N034,N124,2541.2170422699996,"['N034', 'N051', 'N068', 'N124']"
N034,N104,1351.857645,"['N034', 'N051', 'N104']"
N034,N098,1212.76020876,"['N034', 'N040', 'N063', 'N098']"
N034,N084,1657.2583230199998,"['N034', 'N040', 'N056', 'N070', 'N084']"
N034,N142,2391.0133745499998,"['N034', 'N040', 'N063', 'N142']"
N034,N159,2614.58358141,"['N034', 'N040', 'N063', 'N159']"
N034,N161,2975.41753994,"['N034', 'N051', 'N104', 'N161']"
N034,N176,3230.00794971,"['N034', 'N040', 'N063', 'N159', 'N176']"
N034,N177,3385.9041630499996,"['N034', 'N040', 'N063', 'N142', 'N177']"
N047,N021,2209.7714915,"['N047', 'N036', 'N031', 'N024', 'N021']"
N047,N024,1633.1050538,"['N047', 'N036', 'N031', 'N024']"
N047,N029,1062.0449721999998,"['N047', 'N036', 'N029']"
N047,N031,1033.653578,"['N047', 'N036', 'N031']"
N047,N026,1716.4133261,"['N047', 'N036', 'N031', 'N026']"
N047,N036,534.3096105,"['N047', 'N036']"
N047,N034,1165.2217721,"['N047', 'N034']"
N047,N047,0.0,
N047,N051,813.3238403999999,"['N047', 'N051']"
N047,N038,1556.0963332299998,"['N047', 'N051', 'N040', 'N038']"
N047,N040,1341.6889460999998,"['N047', 'N051', 'N040']"
N047,N056,1202.7407004599997,"['N047', 'N051', 'N056']"
N047,N054,1625.5639322499997,"['N047', 'N051', 'N056', 'N054']"
N047,N050,2027.1993618499996,"['N047', 'N051', 'N056', 'N054', 'N050']"
N047,N068,776.7619323999999,"['N047', 'N068']"
N047,N063,1259.18100501,"['N047', 'N051', 'N063']"
N047,N070,1601.5301673499998,"['N047', 'N051', 'N056', 'N070']"
N047,N082,2593.9654337499996,"['N047', 'N051', 'N056', 'N054', 'N082']"
N047,N124,1767.8295314300003,"['N047', 'N124']"
N047,N104,1619.5810007,"['N047', 'N068', 'N104']"
N047,N098,1820.41051397,"['N047', 'N051', 'N098']"
N047,N084,2290.7250877200004,"['N047', 'N051', 'N056', 'N070', 'N084']"
N047,N142,3021.5184894500003,"['N047', 'N051', 'N063', 'N142']"
N047,N159,2977.01968477,"['N047', 'N068', 'N159']"
N047,N161,2916.32225469,"['N047', 'N161']"
N047,N176,3592.44405307,"['N047', 'N068', 'N159', 'N176']"
N047,N177,3957.501391269999,"['N047', 'N068', 'N177']"
N051,N021,2047.0623011000002,"['N051', 'N034', 'N031', 'N024', 'N021']"
N051,N024,1470.3958634,"['N051', 'N034', 'N031', 'N024']"
N051,N029,932.4848332,"['N051', 'N036', 'N029']"
N051,N031,870.9443876,"['N051', 'N034', 'N031']"
N051,N026,1553.7041357,"['N051', 'N034', 'N031', 'N026']"
N051,N036,404.7494715,"['N051', 'N036']"
N051,N034,521.0458666,"['N051', 'N034']"
N051,N047,813.3238403999999,"['N051', 'N047']"
N051,N051,0.0,
N051,N038,742.77249283,"['N051', 'N040', 'N038']"
N051,N040,528.3651057,"['N051', 'N040']"
N051,N056,389.41686006000003,"['N051', 'N056']"
N051,N054,812.24009185,"['N051', 'N056', 'N054']"
N051,N050,1213.87552145,"['N051', 'N056', 'N054', 'N050']"
N051,N068,518.0790277,"['N051', 'N068']"
N051,N063,445.8571646099999,"['N051', 'N063']"
N051,N070,788.2063269500001,"['N051', 'N056', 'N070']"
N051,N082,1780.6415933499998,"['N051', 'N056', 'N054', 'N082']"
N051,N124,2020.1711756700001,"['N051', 'N068', 'N124']"
N051,N104,830.8117783999999,"['N051', 'N104']"
N051,N098,1007.0866735699999,"['N051', 'N098']"
N051,N084,1477.4012473199998,"['N051', 'N056', 'N070', 'N084']"
N051,N142,2208.19464905,"['N051', 'N063', 'N142']"
N051,N159,2363.38553327,"['N051', 'N159']"
N051,N161,2454.3716733399997,"['N051', 'N104', 'N161']"
N051,N176,2978.80990157,"['N051', 'N159', 'N176']"
N051,N177,3203.08543755,"['N051', 'N063', 'N142', 'N177']"
N038,N021,1938.25827703,"['N038', 'N040', 'N034', 'N031', 'N024', 'N021']"
N038,N024,1361.5918393299999,"['N038', 'N040', 'N034', 'N031', 'N024']"
N038,N029,1675.25732603,"['N038', 'N040', 'N051', 'N036', 'N029']"
N038,N031,762.1403635300001,"['N038', 'N040', 'N034', 'N031']"
N038,N026,1403.0460045,"['N038', 'N026']"
N038,N036,1147.5219643300002,"['N038', 'N040', 'N051', 'N036']"
N038,N034,412.24184253,"['N038', 'N040', 'N034']"
N038,N047,1556.09633323,"['N038', 'N040', 'N051', 'N047']"
N038,N051,742.7724928300001,"['N038', 'N040', 'N051']"
N038,N038,0.0,
N038,N040,214.40738713000002,"['N038', 'N040']"
N038,N056,370.59346859,"['N038', 'N056']"
N038,N054,516.4043517,"['N038', 'N054']"
N038,N050,915.0987190999999,"['N038', 'N050']"
N038,N068,1260.85152053,"['N038', 'N040', 'N051', 'N068']"
N038,N063,632.95311469,"['N038', 'N063']"
N038,N070,595.9012933,"['N038', 'N070']"
N038,N082,1484.8058532,"['N038', 'N054', 'N082']"
N038,N124,2762.9436684999996,"['N038', 'N040', 'N051', 'N068', 'N124']"
N038,N104,1481.04197057,"['N038', 'N040', 'N104']"
N038,N098,1087.2601234200001,"['N038', 'N070', 'N098']"
N038,N084,1285.0962136699998,"['N038', 'N070', 'N084']"
N038,N142,2029.94024452,"['N038', 'N070', 'N142']"
N038,N159,2594.8206473200003,"['N038', 'N070', 'N098', 'N159']"
