source,target,weight,path
N159,N142,729.7234948,"['N159', 'N142']"
N159,N161,1026.7085411,"['N159', 'N161']"
N159,N176,615.4243683,"['N159', 'N176']"
N159,N177,992.6933955999999,"['N159', 'N177']"
N161,N047,2916.32225469,"['N161', 'N047']"
N161,N068,2286.1614308400003,"['N161', 'N068']"
N161,N063,2371.69565587,"['N161', 'N063']"
N161,N124,1243.32934594,"['N161', 'N124']"
N161,N104,1623.55989494,"['N161', 'N104']"
N161,N098,1893.3484884700003,"['N161', 'N098']"
N161,N142,1279.8126720999999,"['N161', 'N142']"
N161,N159,1026.7085411,"['N161', 'N159']"
N161,N176,915.9907558,"['N161', 'N176']"
N176,N124,2148.67879829,"['N176', 'N124']"
N176,N159,615.4243683,"['N176', 'N159']"
N176,N161,915.9907558,"['N176', 'N161']"
N176,N177,493.9674829,"['N176', 'N177']"
N177,N050,3353.73242887,"['N177', 'N050']"
N177,N068,3180.7394588700004,"['N177', 'N068']"
N177,N082,2740.6525682500005,"['N177', 'N082']"
N177,N104,2518.13792297,"['N177', 'N104']"
N177,N142,994.8907885,"['N177', 'N142']"
N177,N159,992.6933955999999,"['N177', 'N159']"
N177,N176,493.9674829,"['N177', 'N176']"
