condition,nodes,edges,length,objVal,calcTime
126_104_20000_F,"[32, 33, 34, 35, 36, 37, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 78, 89, 91, 92, 104, 105, 106, 109, 110, 126, 127]","[(32, 51), (33, 32), (34, 36), (35, 34), (36, 33), (37, 35), (51, 52), (52, 54), (54, 74), (55, 56), (56, 37), (57, 55), (58, 57), (72, 89), (73, 72), (74, 73), (78, 58), (89, 91), (91, 92), (92, 110), (105, 104), (106, 105), (109, 106), (110, 109), (126, 127), (127, 78)]",19924,131.379236075,5.2000274658203125
126_104_25000_F,"[21, 32, 33, 34, 35, 36, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110, 112, 117, 118, 120, 122, 123, 124, 126]","[(21, 35), (32, 51), (33, 32), (34, 36), (35, 34), (36, 33), (51, 52), (52, 55), (54, 74), (55, 56), (56, 58), (57, 54), (58, 78), (72, 89), (73, 72), (74, 73), (77, 57), (78, 77), (89, 91), (91, 92), (92, 110), (105, 104), (106, 105), (109, 106), (110, 112), (112, 109), (117, 21), (118, 117), (120, 118), (122, 124), (123, 120), (124, 123), (126, 122)]",24918,202.99888374300002,10.722259521484375
10_104_spath,"[10, 19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 105, 104]",[],9979,1.180405914,0
10_104_10000_F,"[34, 36, 72, 73, 10, 105, 104, 19, 20, 52, 54, 88, 89]","[(10, 19), (19, 20), (20, 34), (34, 36), (36, 52), (52, 54), (54, 73), (72, 89), (73, 72), (88, 105), (89, 88), (105, 104)]",9979,10.345089086,0.2722129821777344
10_104_15000_F,"[10, 21, 34, 35, 36, 52, 54, 55, 72, 73, 74, 89, 91, 92, 104, 105, 106, 109, 110, 116, 117]","[(10, 116), (21, 35), (34, 36), (35, 34), (36, 55), (52, 54), (54, 74), (55, 52), (72, 89), (73, 72), (74, 73), (89, 91), (91, 92), (92, 110), (105, 104), (106, 105), (109, 106), (110, 109), (116, 117), (117, 21)]",14929,72.369565571,3.229297637939453
10_104_20000_F,"[10, 21, 34, 35, 36, 51, 52, 53, 54, 55, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110, 116]","[(10, 116), (21, 35), (34, 36), (35, 34), (36, 55), (51, 53), (52, 51), (53, 73), (54, 52), (55, 57), (57, 58), (58, 78), (72, 89), (73, 72), (74, 54), (77, 74), (78, 77), (89, 91), (91, 92), (92, 110), (105, 104), (106, 105), (109, 106), (110, 109), (116, 21)]",19988,136.970740017,3.8247108459472656
10_104_25000_F,"[10, 21, 32, 33, 34, 35, 36, 37, 51, 52, 54, 55, 56, 57, 58, 70, 71, 73, 74, 77, 78, 79, 80, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112, 116, 117]","[(10, 116), (21, 35), (32, 51), (33, 32), (34, 36), (35, 37), (36, 33), (37, 34), (51, 52), (52, 55), (54, 74), (55, 56), (56, 58), (57, 54), (58, 78), (70, 71), (71, 89), (73, 70), (74, 73), (77, 57), (78, 80), (79, 77), (80, 79), (89, 91), (91, 92), (92, 110), (105, 104), (106, 105), (108, 106), (109, 108), (110, 112), (112, 109), (116, 117), (117, 21)]",24930,200.54189697499996,11.501167297363281
10_50_spath,"[10, 19, 20, 34, 33, 51, 50]",[],5125,0.8325020750000001,0
10_50_10000_F,"[34, 35, 36, 73, 10, 74, 50, 51, 116, 21, 117, 55, 52, 54, 53]","[(10, 116), (21, 35), (34, 36), (35, 34), (36, 55), (51, 50), (52, 54), (53, 51), (54, 74), (55, 52), (73, 53), (74, 73), (116, 117), (117, 21)]",9920,39.70071401,4.529819488525391
10_50_15000_F,"[10, 21, 33, 34, 35, 36, 50, 51, 52, 54, 55, 56, 57, 58, 73, 74, 77, 78, 79, 80, 116]","[(10, 116), (21, 35), (33, 51), (34, 36), (35, 34), (36, 33), (51, 52), (52, 55), (54, 74), (55, 56), (56, 58), (57, 54), (58, 78), (73, 50), (74, 73), (77, 57), (78, 80), (79, 77), (80, 79), (116, 21)]",14930,88.657440681,20.052303314208984
10_50_20000_F,"[10, 21, 34, 35, 36, 50, 51, 52, 53, 54, 55, 56, 58, 70, 71, 73, 74, 77, 78, 79, 89, 90, 91, 92, 109, 110, 116]","[(10, 116), (21, 35), (34, 36), (35, 34), (36, 55), (51, 53), (52, 51), (53, 73), (54, 52), (55, 56), (56, 58), (58, 78), (70, 50), (71, 70), (73, 90), (74, 54), (77, 79), (78, 77), (79, 74), (89, 71), (90, 92), (91, 89), (92, 110), (109, 91), (110, 109), (116, 21)]",19965,138.384681042,415.27015113830566
