from,to,length,path
18,68,5972,"[18, 17, 32, 51, 50, 69, 68]"
18,69,5217,"[18, 17, 32, 51, 50, 69]"
18,70,4917,"[18, 17, 32, 51, 50, 70]"
18,71,5723,"[18, 17, 32, 51, 50, 70, 71]"
18,72,5499,"[18, 17, 33, 52, 54, 73, 72]"
18,73,4466,"[18, 17, 33, 52, 54, 73]"
18,74,3993,"[18, 17, 33, 52, 54, 74]"
18,76,4592,"[18, 17, 33, 52, 54, 74, 76]"
18,77,4579,"[18, 20, 34, 36, 55, 57, 77]"
18,78,4735,"[18, 20, 34, 36, 55, 58, 78]"
18,79,4764,"[18, 17, 33, 52, 54, 74, 79]"
18,80,5365,"[18, 17, 33, 52, 54, 74, 79, 80]"
18,85,6924,"[18, 17, 32, 51, 50, 69, 68, 85]"
18,86,6814,"[18, 17, 32, 51, 50, 69, 68, 86]"
18,88,7086,"[18, 17, 33, 52, 54, 73, 72, 89, 88]"
18,89,6255,"[18, 17, 33, 52, 54, 73, 72, 89]"
18,90,5740,"[18, 17, 33, 52, 54, 74, 90]"
18,91,6886,"[18, 17, 33, 52, 54, 73, 72, 89, 91]"
18,92,6490,"[18, 17, 33, 52, 54, 74, 90, 92]"
18,93,5634,"[18, 17, 33, 52, 54, 74, 93]"
18,94,5578,"[18, 17, 33, 52, 54, 74, 76, 94]"
18,95,8451,"[18, 17, 33, 52, 54, 74, 76, 94, 96, 95]"
18,96,6075,"[18, 17, 33, 52, 54, 74, 76, 94, 96]"
18,97,5778,"[18, 17, 33, 52, 54, 74, 79, 97]"
18,104,9194,"[18, 17, 33, 52, 54, 73, 72, 89, 88, 105, 104]"
18,105,7988,"[18, 17, 33, 52, 54, 73, 72, 89, 88, 105]"
18,106,7650,"[18, 17, 33, 52, 54, 73, 72, 89, 88, 106]"
18,108,8253,"[18, 17, 33, 52, 54, 73, 72, 89, 88, 106, 108]"
18,109,7531,"[18, 17, 33, 52, 54, 73, 72, 89, 91, 109]"
18,110,7060,"[18, 17, 33, 52, 54, 74, 90, 92, 110]"
18,111,8197,"[18, 17, 33, 52, 54, 73, 72, 89, 91, 109, 111]"
18,112,7769,"[18, 17, 33, 52, 54, 74, 90, 92, 110, 112]"
18,116,1414,"[18, 19, 116]"
18,117,1450,"[18, 19, 117]"
18,118,2355,"[18, 19, 117, 118]"
18,119,2492,"[18, 19, 117, 119]"
18,120,2515,"[18, 19, 117, 120]"
18,121,3519,"[18, 21, 35, 121]"
18,122,3411,"[18, 19, 117, 120, 122]"
18,123,3294,"[18, 19, 117, 120, 123]"
18,124,3576,"[18, 19, 117, 120, 124]"
18,125,3566,"[18, 20, 34, 37, 125]"
18,126,3962,"[18, 19, 117, 120, 122, 126]"
18,127,4306,"[18, 20, 34, 37, 56, 127]"
18,129,4319,"[18, 19, 117, 120, 124, 129]"
18,131,4742,"[18, 20, 34, 36, 55, 58, 131]"
18,135,5473,"[18, 19, 117, 120, 122, 126, 135]"
19,10,822,"[19, 10]"
19,17,1766,"[19, 18, 17]"
19,18,668,"[19, 18]"
19,19,0,
19,20,836,"[19, 20]"
19,21,761,"[19, 21]"
19,29,3419,"[19, 20, 29]"
19,32,2959,"[19, 20, 32]"
19,33,2448,"[19, 20, 34, 33]"
19,34,1380,"[19, 20, 34]"
19,35,1358,"[19, 21, 35]"
19,36,2006,"[19, 20, 34, 36]"
19,37,1974,"[19, 21, 35, 37]"
19,46,5273,"[19, 20, 29, 47, 46]"
19,47,4357,"[19, 20, 29, 47]"
19,48,4011,"[19, 20, 34, 33, 51, 48]"
19,49,4879,"[19, 20, 34, 33, 51, 48, 49]"
19,50,4303,"[19, 20, 34, 33, 51, 50]"
19,51,3316,"[19, 20, 34, 33, 51]"
19,52,2962,"[19, 20, 34, 36, 52]"
19,53,3863,"[19, 20, 34, 36, 52, 53]"
19,54,3462,"[19, 20, 34, 36, 52, 54]"
19,55,2730,"[19, 20, 34, 36, 55]"
19,56,2798,"[19, 21, 35, 37, 56]"
19,57,3539,"[19, 20, 34, 36, 55, 57]"
19,58,3536,"[19, 21, 35, 37, 56, 58]"
19,66,5905,"[19, 20, 29, 47, 46, 66]"
19,68,6153,"[19, 20, 34, 33, 51, 50, 69, 68]"
19,69,5398,"[19, 20, 34, 33, 51, 50, 69]"
19,70,5098,"[19, 20, 34, 33, 51, 50, 70]"
19,71,5904,"[19, 20, 34, 33, 51, 50, 70, 71]"
19,72,5462,"[19, 20, 34, 36, 52, 54, 73, 72]"
19,73,4429,"[19, 20, 34, 36, 52, 54, 73]"
19,74,3956,"[19, 20, 34, 36, 52, 54, 74]"
19,76,4555,"[19, 20, 34, 36, 52, 54, 74, 76]"
19,77,4534,"[19, 20, 34, 36, 55, 57, 77]"
19,78,4382,"[19, 21, 35, 37, 56, 58, 78]"
19,79,4727,"[19, 20, 34, 36, 52, 54, 74, 79]"
19,80,5295,"[19, 21, 35, 37, 56, 58, 78, 80]"
19,85,7105,"[19, 20, 34, 33, 51, 50, 69, 68, 85]"
19,86,6995,"[19, 20, 34, 33, 51, 50, 69, 68, 86]"
19,88,7049,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 88]"
19,89,6218,"[19, 20, 34, 36, 52, 54, 73, 72, 89]"
19,90,5703,"[19, 20, 34, 36, 52, 54, 74, 90]"
19,91,6849,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 91]"
19,92,6453,"[19, 20, 34, 36, 52, 54, 74, 90, 92]"
19,93,5597,"[19, 20, 34, 36, 52, 54, 74, 93]"
19,94,5541,"[19, 20, 34, 36, 52, 54, 74, 76, 94]"
19,95,8414,"[19, 20, 34, 36, 52, 54, 74, 76, 94, 96, 95]"
19,96,6038,"[19, 20, 34, 36, 52, 54, 74, 76, 94, 96]"
19,97,5741,"[19, 20, 34, 36, 52, 54, 74, 79, 97]"
19,104,9157,"[19, 20, 34, 36, 52, 54, 73, 72, 89, 88, 105, 104]"
