from,to,value
34,73,0.357579281
34,74,0.132436771
34,76,0
34,77,0.238386187
34,78,0.104765097
34,79,0
34,80,0.132436771
34,85,0
34,86,0.013243677
34,88,0
34,89,0.026487354
34,90,0
34,91,0.039731031
34,92,0.119193094
34,93,0
34,94,0.079462062
34,95,0.052974708
34,96,0.013243677
34,97,0
34,104,0
34,105,0
34,106,0.013243677
34,108,0
34,109,0.264873542
34,110,0.292121498
34,111,0.013243677
34,112,0
34,116,0
34,117,0
34,118,0.09270574
34,119,0
34,120,0.119193094
34,121,0
34,122,0
34,123,0.039731031
34,124,0.039731031
34,125,0
34,126,0
34,127,0
34,129,0
34,131,0
34,135,0.079462062
35,10,0
35,17,0.053435358
35,18,0
35,19,0
35,20,0
35,21,0.240459111
35,29,0
35,32,0.117323959
35,33,0.053435358
35,34,0.786159856
35,35,0
35,36,0
35,37,0
35,46,0
35,47,0
35,48,0
35,49,0.187023753
35,50,0.133588395
35,51,0.613496426
35,52,0.106870716
35,53,0.187023753
35,54,0
35,55,0.76652488
35,56,0.133588395
35,57,0.293894469
35,58,0.320612148
35,66,0.106870716
35,68,0.026717679
35,69,0.053435358
35,70,0.106870716
35,71,0
35,72,0
35,73,0.721377332
35,74,0.26717679
35,76,0
35,77,0.480918221
35,78,0.211352196
35,79,0
35,80,0.26717679
35,85,0
35,86,0.026717679
35,88,0
35,89,0.053435358
35,90,0
35,91,0.080153037
35,92,0.240459111
35,93,0
35,94,0.160306074
35,95,0.106870716
35,96,0.026717679
35,97,0
35,104,0
35,105,0
35,106,0.026717679
35,108,0
35,109,0.534353579
35,110,0.589323369
35,111,0.026717679
35,112,0
35,116,0
35,117,0
35,118,0.187023753
35,119,0
35,120,0.240459111
35,121,0
35,122,0
35,123,0.080153037
35,124,0.080153037
35,125,0
35,126,0
35,127,0
35,129,0
35,131,0
35,135,0.160306074
36,10,0
36,17,0.07024907
36,18,0
36,19,0
36,20,0
36,21,0.316120814
36,29,0
36,32,0.15424055
36,33,0.07024907
36,34,1.033529121
36,35,0.352949691
36,36,0
36,37,0
36,46,0
36,47,0
36,48,0
36,49,0.245871744
36,50,0.175622674
36,51,0.80653625
36,52,0.140498139
36,53,0.245871744
36,54,0
36,55,1.007715898
36,56,0.175622674
36,57,0.386369883
36,58,0.421494418
36,66,0.140498139
36,68,0.035124535
36,69,0.07024907
36,70,0.140498139
36,71,0
36,72,0
36,73,0.948362441
36,74,0.351245349
36,76,0
36,77,0.632241627
36,78,0.277855257
36,79,0
36,80,0.351245349
36,85,0
36,86,0.035124535
36,88,0
36,89,0.07024907
36,90,0
36,91,0.105373605
36,92,0.316120814
36,93,0
36,94,0.210747209
36,95,0.140498139
36,96,0.035124535
36,97,0
36,104,0
36,105,0
36,106,0.035124535
36,108,0
36,109,0.702490697
36,110,0.774757015
36,111,0.035124535
36,112,0
36,116,0
36,117,0
36,118,0.245871744
36,119,0
36,120,0.316120814
36,121,0
36,122,0
36,123,0.105373605
36,124,0.105373605
36,125,0
36,126,0
36,127,0
36,129,0
36,131,0
36,135,0.210747209
37,10,0
37,17,0.052437284
37,18,0
37,19,0
37,20,0
37,21,0.235967777
37,29,0
37,32,0.115132563
37,33,0.052437284
37,34,0.771475836
37,35,0.263458621
37,36,0
37,37,0
37,46,0
37,47,0
37,48,0
37,49,0.183530493
37,50,0.131093209
37,51,0.602037441
37,52,0.104874567
37,53,0.183530493
37,54,0
37,55,0.752207605
37,56,0.131093209
37,57,0.28840506
37,58,0.314623702
37,66,0.104874567
37,68,0.026218642
37,69,0.052437284
37,70,0.104874567
37,71,0
37,72,0
37,73,0.70790333
37,74,0.262186419
37,76,0
37,77,0.471935554
37,78,0.207404526
37,79,0
37,80,0.262186419
37,85,0
37,86,0.026218642
37,88,0
37,89,0.052437284
37,90,0
37,91,0.078655926
37,92,0.235967777
37,93,0
37,94,0.157311851
37,95,0.104874567
37,96,0.026218642
37,97,0
37,104,0
37,105,0
37,106,0.026218642
37,108,0
37,109,0.524372837
37,110,0.578315892
37,111,0.026218642
37,112,0
37,116,0
37,117,0
37,118,0.183530493
37,119,0
37,120,0.235967777
37,121,0
37,122,0
37,123,0.078655926
37,124,0.078655926
37,125,0
37,126,0
37,127,0
37,129,0
37,131,0
37,135,0.157311851
46,10,0
46,17,0.011055591
46,18,0
46,19,0
46,20,0
46,21,0.049750161
46,29,0
46,32,0.024273923
46,33,0.011055591
46,34,0.162653763
46,35,0.055546181
46,36,0
46,37,0
46,46,0
46,47,0
46,48,0
46,49,0.03869457
46,50,0.027638978
46,51,0.126930295
46,52,0.022111183
46,53,0.03869457
46,54,0
46,55,0.158591354
46,56,0.027638978
46,57,0.060805752
46,58,0.066333548
46,66,0.022111183
46,68,0.005527796
46,69,0.011055591
46,70,0.022111183
46,71,0
46,72,0
46,73,0.149250483
46,74,0.055277956
46,76,0
46,77,0.099500322
46,78,0.043728041
46,79,0
46,80,0.055277956
46,85,0
46,86,0.005527796
46,88,0
46,89,0.011055591
46,90,0
46,91,0.016583387
46,92,0.049750161
46,93,0
46,94,0.033166774
46,95,0.022111183
46,96,0.005527796
46,97,0
46,104,0
46,105,0
46,106,0.005527796
46,108,0
46,109,0.110555913
46,110,0.121928973
46,111,0.005527796
46,112,0
46,116,0
46,117,0
46,118,0.03869457
46,119,0
46,120,0.049750161
46,121,0
46,122,0
46,123,0.016583387
46,124,0.016583387
46,125,0
46,126,0
46,127,0
46,129,0
46,131,0
46,135,0.033166774
47,10,0
47,17,0.012053666
47,18,0
47,19,0
47,20,0
47,21,0.054241495
47,29,0
47,32,0.026465318
47,33,0.012053666
47,34,0.177337784
47,35,0.060560767
47,36,0
47,37,0
47,46,0
47,47,0
47,48,0
47,49,0.042187829
47,50,0.030134164
47,51,0.13838928
47,52,0.024107331
47,53,0.042187829
47,54,0
47,55,0.172908629
47,56,0.030134164
47,57,0.06629516
47,58,0.072321993
47,66,0.024107331
47,68,0.006026833
47,69,0.012053666
47,70,0.024107331
47,71,0
47,72,0
47,73,0.162724484
47,74,0.060268328
47,76,0
47,77,0.10848299
47,78,0.047675711
47,79,0
47,80,0.060268328
47,85,0
47,86,0.006026833
47,88,0
47,89,0.012053666
47,90,0
47,91,0.018080498
47,92,0.054241495
47,93,0
47,94,0.036160997
47,95,0.024107331
47,96,0.006026833
47,97,0
47,104,0
47,105,0
47,106,0.006026833
47,108,0
47,109,0.120536655
47,110,0.13293645
47,111,0.006026833
47,112,0
47,116,0
47,117,0
47,118,0.042187829
47,119,0
47,120,0.054241495
47,121,0
47,122,0
47,123,0.018080498
47,124,0.018080498
47,125,0
47,126,0
47,127,0
47,129,0
47,131,0
47,135,0.036160997
48,10,0
48,17,0.009021055
48,18,0
48,19,0
48,20,0
48,21,0.040594749
48,29,0
48,32,0.019806847
48,33,0.009021055
48,34,0.132720953
48,35,0.045324141
48,36,0
48,37,0
48,46,0
48,47,0
48,48,0
48,49,0.031573694
48,50,0.022552638
48,51,0.103571595
48,52,0.018042111
48,53,0.031573694
48,54,0
48,55,0.12940614
48,56,0.022552638
48,57,0.049615805
48,58,0.054126332
48,66,0.018042111
48,68,0.004510528
48,69,0.009021055
48,70,0.018042111
48,71,0
48,72,0
48,73,0.121784248
48,74,0.045105277
48,76,0
48,77,0.081189499
48,78,0.035680866
48,79,0
48,80,0.045105277
48,85,0
48,86,0.004510528
48,88,0
48,89,0.009021055
48,90,0
48,91,0.013531583
48,92,0.040594749
48,93,0
48,94,0.027063166
48,95,0.018042111
48,96,0.004510528
48,97,0
48,104,0
48,105,0
48,106,0.004510528
48,108,0
48,109,0.090210554
48,110,0.099490655
48,111,0.004510528
48,112,0
48,116,0
48,117,0
48,118,0.031573694
48,119,0
48,120,0.040594749
48,121,0
48,122,0
48,123,0.013531583
48,124,0.013531583
48,125,0
48,126,0
48,127,0
48,129,0
48,131,0
48,135,0.027063166
49,10,0
49,17,0.008483631
49,18,0
49,19,0
49,20,0
49,21,0.038176339
49,29,0
49,32,0.018626864
49,33,0.008483631
49,34,0.124814173
49,35,0.042623979
49,36,0
49,37,0
49,46,0
49,47,0
49,48,0
49,49,0
49,50,0.021209077
49,51,0.097401372
49,52,0.016967262
49,53,0.029692708
49,54,0
49,55,0.121696838
49,56,0.021209077
49,57,0.04665997
49,58,0.050901785
49,66,0.016967262
49,68,0.004241815
49,69,0.008483631
49,70,0.016967262
49,71,0
49,72,0
49,73,0.114529016
49,74,0.042418154
49,76,0
49,77,0.076352677
49,78,0.033555198
49,79,0
49,80,0.042418154
49,85,0
49,86,0.004241815
49,88,0
49,89,0.008483631
49,90,0
49,91,0.012725446
49,92,0.038176339
49,93,0
49,94,0.025450892
49,95,0.016967262
49,96,0.004241815
49,97,0
49,104,0
49,105,0
49,106,0.004241815
49,108,0
49,109,0.084836308
49,110,0.093563552
49,111,0.004241815
49,112,0
49,116,0
49,117,0
49,118,0.029692708
49,119,0
49,120,0.038176339
49,121,0
49,122,0
49,123,0.012725446
49,124,0.012725446
49,125,0
49,126,0
49,127,0
49,129,0
49,131,0
49,135,0.025450892
50,10,0
50,17,0.007677494
50,18,0
50,19,0
50,20,0
50,21,0.034548723
50,29,0
50,32,0.016856891
50,33,0.007677494
50,34,0.112954002
50,35,0.038573737
50,36,0
50,37,0
50,46,0
50,47,0
50,48,0
50,49,0.026871229
50,50,0
50,51,0.088146038
50,52,0.015354988
50,53,0.026871229
50,54,0
50,55,0.110132885
50,56,0.019193735
50,57,0.042226217
50,58,0.046064964
50,66,0.015354988
50,68,0.003838747
50,69,0.007677494
50,70,0.015354988
50,71,0
50,72,0
50,73,0.103646168
50,74,0.03838747
50,76,0
50,77,0.069097446
50,78,0.030366695
50,79,0
50,80,0.03838747
50,85,0
50,86,0.003838747
50,88,0
50,89,0.007677494
50,90,0
50,91,0.011516241
50,92,0.034548723
50,93,0
50,94,0.023032482
50,95,0.015354988
50,96,0.003838747
50,97,0
50,104,0
50,105,0
50,106,0.003838747
50,108,0
50,109,0.07677494
50,110,0.084672898
50,111,0.003838747
50,112,0
50,116,0
50,117,0
50,118,0.026871229
50,119,0
50,120,0.034548723
50,121,0
50,122,0
50,123,0.011516241
50,124,0.011516241
50,125,0
50,126,0
50,127,0
50,129,0
50,131,0
50,135,0.023032482
51,10,0
51,17,0.039116832
51,18,0
51,19,0
51,20,0
51,21,0.176025743
51,29,0
51,32,0.085885858
51,33,0.039116832
51,34,0.575500642
51,35,0.196533188
51,36,0
51,37,0
51,46,0
51,47,0
51,48,0
51,49,0.136908911
51,50,0.097792079
51,51,0
51,52,0.078233663
51,53,0.136908911
51,54,0
51,55,0.561127049
51,56,0.097792079
51,57,0.215142574
51,58,0.23470099
51,66,0.078233663
51,68,0.019558416
51,69,0.039116832
51,70,0.078233663
51,71,0
51,72,0
51,73,0.528077228
51,74,0.195584159
51,76,0
51,77,0.352051485
51,78,0.15471831
51,79,0
51,80,0.195584159
51,85,0
51,86,0.019558416
51,88,0
51,89,0.039116832
51,90,0
51,91,0.058675248
51,92,0.176025743
51,93,0
51,94,0.117350495
51,95,0.078233663
51,96,0.019558416
51,97,0
51,104,0
51,105,0
51,106,0.019558416
51,108,0
51,109,0.391168317
51,110,0.431408414
51,111,0.019558416
51,112,0
51,116,0
51,117,0
51,118,0.136908911
51,119,0
51,120,0.176025743
51,121,0
51,122,0
51,123,0.058675248
51,124,0.058675248
51,125,0
51,126,0
51,127,0
51,129,0
51,131,0
51,135,0.117350495
52,10,0
52,17,0.079154963
52,18,0
52,19,0
52,20,0
52,21,0.356197332
52,29,0
52,32,0.173794543
52,33,0.079154963
52,34,1.164555764
52,35,0.397695225
