source,target,weight,path
108,111,705,"[108, 111]"
109,88,1087,"[109, 88]"
109,91,645,"[109, 91]"
109,92,1186,"[109, 92]"
109,106,793,"[109, 106]"
109,108,896,"[109, 108]"
109,110,1151,"[109, 110]"
109,111,666,"[109, 111]"
109,112,1083,"[109, 112]"
110,91,1175,"[110, 91]"
110,92,570,"[110, 92]"
110,95,3526,"[110, 95]"
110,109,1151,"[110, 109]"
110,111,1418,"[110, 111]"
110,112,709,"[110, 112]"
111,106,921,"[111, 106]"
111,108,705,"[111, 108]"
111,109,666,"[111, 109]"
111,110,1418,"[111, 110]"
111,112,1169,"[111, 112]"
112,109,1083,"[112, 109]"
112,110,709,"[112, 110]"
112,111,1169,"[112, 111]"
116,10,883,"[116, 10]"
116,19,746,"[116, 19]"
116,21,849,"[116, 21]"
116,117,555,"[116, 117]"
116,118,986,"[116, 118]"
117,19,782,"[117, 19]"
117,21,618,"[117, 21]"
117,35,978,"[117, 35]"
117,116,555,"[117, 116]"
117,118,905,"[117, 118]"
117,119,1042,"[117, 119]"
117,120,1065,"[117, 120]"
118,116,986,"[118, 116]"
118,117,905,"[118, 117]"
118,119,932,"[118, 119]"
118,120,723,"[118, 120]"
118,123,1137,"[118, 123]"
119,21,1397,"[119, 21]"
119,35,1183,"[119, 35]"
119,37,1206,"[119, 37]"
119,117,1042,"[119, 117]"
119,118,932,"[119, 118]"
119,120,785,"[119, 120]"
119,121,1214,"[119, 121]"
119,122,1550,"[119, 122]"
120,117,1065,"[120, 117]"
120,118,723,"[120, 118]"
120,119,785,"[120, 119]"
120,121,1159,"[120, 121]"
120,122,896,"[120, 122]"
120,123,779,"[120, 123]"
120,124,1061,"[120, 124]"
121,35,1664,"[121, 35]"
121,37,1545,"[121, 37]"
121,56,1165,"[121, 56]"
121,119,1214,"[121, 119]"
121,120,1159,"[121, 120]"
121,122,921,"[121, 122]"
121,125,425,"[121, 125]"
121,126,701,"[121, 126]"
122,119,1550,"[122, 119]"
122,120,896,"[122, 120]"
122,121,921,"[122, 121]"
122,123,1012,"[122, 123]"
122,124,904,"[122, 124]"
122,125,1086,"[122, 125]"
122,126,551,"[122, 126]"
122,129,951,"[122, 129]"
123,118,1137,"[123, 118]"
123,120,779,"[123, 120]"
